,y
3286,0
5103,0
1431,0
5861,0
3096,1
4008,1
2704,0
84,0
1409,1
5072,0
5405,0
1889,0
917,0
2506,0
2417,1
2246,0
5724,0
1212,0
3718,0
4306,0
4845,0
4056,0
804,0
4010,0
1394,1
4412,0
1198,0
1344,1
5832,0
3466,0
5396,0
4234,0
1746,1
5823,1
4535,0
3121,0
3895,0
2885,0
532,0
4860,0
3752,1
1691,1
2274,0
2934,0
5,0
2576,0
2537,0
44,1
187,0
438,1
5226,0
2394,1
1208,0
3237,0
4350,0
1945,1
1872,1
593,1
2685,1
1086,0
3387,0
333,0
3946,1
3996,1
1708,0
1970,1
1106,1
4972,0
1216,1
3270,0
4435,0
4557,0
968,0
1371,1
5221,1
4679,1
3770,1
4472,1
4496,0
5778,1
3932,0
1837,0
4193,0
2753,0
4581,0
641,1
589,1
4921,0
1919,1
880,0
4404,0
420,0
1113,0
4259,1
3927,0
2012,0
1078,0
5941,0
603,0
1221,0
4867,1
4590,0
3372,1
3683,0
5557,1
4589,1
4069,0
2340,1
5063,1
92,0
3746,1
831,1
1572,0
1835,1
3876,0
3800,0
4868,0
4915,0
5078,1
2660,0
3018,0
5847,0
3225,1
1253,0
661,0
1411,1
410,1
5991,0
1750,1
489,1
2186,0
4147,1
4861,0
1257,0
3514,0
3655,1
940,0
447,1
1614,0
2800,1
3377,0
1727,1
5807,1
2713,0
775,0
2406,0
71,0
870,0
2951,1
3828,1
4911,1
3027,0
220,0
5714,1
2615,0
5913,0
635,1
650,0
210,1
4464,0
1238,0
4077,0
2636,0
498,1
1449,0
2466,0
280,0
871,0
349,0
1402,0
3925,0
2502,0
1881,1
3135,0
3527,0
2140,0
664,1
1930,1
5973,0
1358,0
1542,0
2855,0
5274,0
5413,1
1811,0
1466,0
5191,0
5613,0
5469,0
5937,1
183,0
2745,0
1384,1
973,0
392,0
4270,1
4105,0
2477,0
2170,1
4354,1
2894,1
4910,1
2000,0
1162,0
1927,0
2738,0
5313,0
679,0
5697,0
5917,1
3113,0
5834,0
279,0
3501,0
2741,0
2081,0
5138,0
3559,0
992,0
1249,0
5011,1
1615,0
4364,0
1463,0
4313,0
3191,0
935,0
2972,0
5642,0
2859,1
2857,0
724,0
2227,1
2105,0
1908,0
2033,1
302,1
888,1
4276,1
4032,0
1499,0
5888,0
4613,1
863,0
2834,0
676,0
3616,0
3477,0
4721,0
3268,1
2231,0
5420,1
5484,0
4184,1
3844,0
2658,1
3261,1
1826,1
3901,1
4769,0
4734,1
1790,0
843,1
2770,1
5849,0
984,0
2411,0
4110,0
176,0
4580,0
326,0
2712,1
2313,1
2504,0
5505,0
3847,0
3907,0
3913,0
4802,1
2208,0
5186,1
3233,0
1067,0
5112,0
5668,0
434,0
5762,0
2918,0
2139,0
1322,0
4477,1
5848,0
5732,0
5239,1
4188,1
5661,0
3937,1
2072,0
1867,0
46,1
2647,0
4395,1
3403,0
2447,1
3872,0
837,0
4521,0
5727,0
2035,0
1839,0
287,0
2747,0
696,0
4883,1
1320,0
5348,0
558,0
5608,0
3033,1
657,1
2732,0
3858,1
5742,1
5162,0
4207,0
2916,0
4254,0
4153,0
5738,0
453,1
3488,1
1804,0
1667,0
2515,1
2827,0
5583,0
490,0
5135,0
4080,0
1663,0
5870,0
2403,1
5184,0
1313,0
2304,0
5815,1
1383,0
2595,0
5702,0
1914,1
1217,0
3209,0
4890,0
2359,0
2536,1
3621,1
5610,0
1507,1
1949,0
32,1
625,1
3328,0
2117,0
5208,0
356,0
2123,0
5479,0
2460,1
2952,0
2226,1
4639,0
4071,0
3529,0
5463,0
1928,1
4906,0
3053,1
5871,1
859,0
565,0
3566,0
2580,1
1027,1
4351,0
1497,1
5805,0
2288,1
551,0
3819,0
2743,1
3037,0
4304,1
11,0
4925,0
2481,0
4411,0
3836,0
2016,0
4483,0
3349,1
2281,1
3659,0
2769,0
5786,0
1936,0
682,1
2064,0
4150,1
5454,1
1721,0
4913,1
2145,1
599,0
41,0
5043,0
2938,1
1530,0
1853,0
937,0
1194,1
1570,1
3218,0
5584,0
3861,0
81,1
857,0
5876,0
2983,0
3557,1
749,1
2004,0
3785,0
1875,0
2931,0
2598,0
4957,0
1549,0
27,1
5627,0
54,0
1532,0
3371,0
730,1
3164,0
4956,0
2365,0
1026,0
1711,1
996,1
3592,1
3022,0
4627,0
4548,1
2286,0
3078,0
4480,1
2899,0
4329,1
5497,0
2858,0
207,0
4448,0
1374,1
1955,1
3470,1
5764,0
3854,1
617,1
2603,1
2775,0
2219,0
1008,1
1303,0
368,1
3081,0
4331,1
2648,0
2179,0
4119,1
3342,0
2697,0
272,1
4362,0
5335,0
3957,1
4345,1
970,0
5485,0
3373,0
3736,1
3388,0
752,0
2252,1
5424,0
1229,0
2846,0
3360,1
3598,0
3019,0
2311,0
3042,0
5312,1
422,0
440,0
856,0
4309,0
808,0
4790,0
784,1
2819,0
1810,0
3060,0
3763,1
5598,1
4962,0
4352,0
2315,0
3123,0
4416,0
879,0
4817,0
2091,1
2674,1
5532,1
978,0
5154,1
1805,1
3631,0
2546,0
965,1
3455,1
3840,0
5084,0
487,0
3144,1
419,0
2399,0
896,0
4978,0
5310,0
1779,0
4835,0
2548,1
1562,0
5046,1
3491,1
5343,0
609,1
2833,0
5205,0
4144,0
4847,1
5133,1
2785,1
5541,1
3355,1
3807,0
5156,0
4087,0
530,0
98,0
2078,0
1353,0
225,0
5751,1
3604,0
3204,1
57,1
2319,0
5533,1
829,0
2950,0
4054,1
4760,0
5877,0
4288,0
756,0
5748,1
3902,1
4797,0
2633,0
470,0
5391,1
1138,0
2764,0
1210,0
2042,0
2555,0
3408,0
1764,0
4596,1
125,0
1838,0
3811,0
1306,0
1446,0
2217,1
5544,0
2596,1
4371,0
1759,0
1771,1
5794,0
5064,1
137,0
3271,0
554,1
4745,1
1345,0
5754,0
2652,0
1319,1
516,1
3308,0
4744,0
4943,0
2445,1
2780,1
5220,0
1048,0
2229,0
12,1
4794,0
4393,0
985,0
2218,1
5383,0
3126,0
5279,1
4456,0
4003,1
165,0
2437,0
4023,0
2381,1
5784,0
3751,0
799,1
5775,0
1634,1
5066,0
2079,0
5768,0
4923,1
5395,1
3866,1
4840,0
929,0
3359,1
428,0
3147,1
2527,1
314,1
3817,0
4148,1
3805,0
2544,0
2522,0
3517,0
5549,1
2287,0
4143,0
1847,0
1854,0
4680,1
918,0
4053,0
2443,0
5657,0
3851,0
2023,0
987,1
397,0
701,0
2873,1
1905,0
5082,0
3325,1
3404,1
3660,0
1778,1
3239,0
3350,1
895,1
5136,1
2213,1
5029,0
4624,0
4168,0
3719,1
5052,0
5932,1
817,1
4000,0
2455,1
1454,1
1010,1
5985,0
601,0
1040,0
3039,0
2096,0
1629,0
1182,1
2655,0
1218,0
5734,0
3943,0
4101,0
5617,1
1968,1
1990,0
4809,0
2292,0
5457,0
379,1
5113,1
923,1
3962,0
919,1
5058,0
4857,1
559,1
1652,1
2948,0
3920,0
3723,0
2374,0
2707,1
114,1
2514,1
5918,0
5548,0
3356,0
967,0
806,1
5326,0
734,0
2263,0
1722,0
5850,1
3891,0
39,0
3967,1
4267,1
4489,0
4302,0
5909,0
746,0
5432,0
4524,1
341,0
1591,0
2330,1
3657,1
294,0
5765,0
5893,1
1758,0
5211,0
1574,0
3911,1
5281,1
5439,1
618,0
1389,0
2940,1
1772,0
2343,0
3804,1
2291,0
1671,0
2532,0
5554,0
5411,0
4855,1
3421,0
505,1
2331,0
5896,0
637,0
4363,1
140,1
3970,1
2356,1
5397,1
131,0
1515,0
3194,1
4378,1
771,0
234,1
3446,0
2448,1
4402,0
374,0
3303,1
5595,0
952,0
3796,0
1343,1
5263,0
2699,0
5377,0
4964,1
301,0
4258,0
3445,1
5615,1
2230,1
961,0
3258,0
4042,0
4021,0
5000,1
1938,1
5204,0
3035,1
3624,1
1527,0
4574,0
5057,0
1910,0
1281,0
4807,0
2565,0
3410,0
357,0
1819,0
5721,0
1849,0
3450,0
1511,0
1724,0
4749,1
5543,0
4533,0
4199,0
2238,0
4981,0
3685,0
1282,0
90,0
1457,1
413,0
5198,1
1157,0
2508,1
1219,0
1649,1
5623,1
2271,1
5180,0
1300,0
2692,0
689,0
4683,1
214,1
694,0
3857,0
2646,0
4746,0
4124,0
5599,0
2060,1
790,0
5767,0
3498,1
4382,0
5065,1
3656,1
1939,0
2839,1
2675,0
3976,0
773,0
995,0
1897,0
2003,1
2094,0
1165,0
4898,0
5672,0
2608,1
5691,0
615,0
2570,0
4617,1
4858,0
1599,0
4750,1
2419,1
4423,0
4173,1
309,0
321,0
2205,0
4149,0
989,0
1462,0
5669,0
4219,0
4386,1
4948,1
4509,0
5729,0
5756,1
1107,1
3206,0
4470,1
5490,0
3775,0
4999,0
5128,0
4151,0
4796,0
4673,0
243,0
4954,1
4450,0
1137,1
2201,1
4067,0
1709,0
1690,0
3788,0
56,1
2907,0
547,1
506,0
5760,0
1145,0
2379,0
1610,1
4462,0
5647,0
1769,0
186,0
1842,1
1093,0
1617,0
1665,1
4230,0
4588,0
2249,0
5717,1
3731,0
5110,0
5406,0
5646,0
1767,0
1305,0
2297,1
614,1
975,0
4244,1
2266,1
178,1
2863,0
4031,0
3982,0
5187,0
1094,0
1373,1
4428,0
5456,0
4478,1
5882,0
5789,1
2797,0
5655,0
452,0
4708,0
1049,0
3316,0
59,1
5115,0
5900,1
1404,0
162,0
145,1
5609,1
478,0
2452,1
21,0
51,0
1368,0
5132,1
2102,1
1613,1
3776,0
1514,0
2069,0
1451,0
2333,0
5803,0
3375,0
4346,0
612,0
1367,1
1985,1
3447,1
1421,1
828,0
3210,1
5686,0
1739,0
2583,1
5753,0
2054,1
1151,1
3986,0
4065,1
702,0
4806,0
2656,0
4246,0
1747,0
4140,0
2345,1
887,0
338,0
4114,0
5629,1
1848,0
1380,0
4060,0
4092,1
2160,0
5975,1
4389,0
2239,1
1387,0
5733,1
2126,0
75,1
3558,1
3329,0
2590,0
660,0
3587,0
4293,1
47,0
4646,0
5353,0
5079,0
2440,0
143,1
